id,family,family_order,order,character,transliteration,vowel,audio_file
154,ya,21,7,ዮ,yo,o,

155,da,22,1,ደ,dä,ä,
156,da,22,2,ዱ,du,u,
157,da,22,3,ዲ,di,i,
158,da,22,4,ዳ,da,a,
159,da,22,5,ዴ,de,e,
160,da,22,6,ድ,dɨ,ɨ,
161,da,22,7,ዶ,do,o,

162,ja,23,1,ጀ,jä,ä,
163,ja,23,2,ጁ,ju,u,
164,ja,23,3,ጂ,ji,i,
165,ja,23,4,ጃ,ja,a,
166,ja,23,5,ጄ,je,e,
167,ja,23,6,ጅ,jɨ,ɨ,
168,ja,23,7,ጆ,jo,o,

169,ga,24,1,ገ,gä,ä,
170,ga,24,2,ጉ,gu,u,
171,ga,24,3,ጊ,gi,i,
172,ga,24,4,ጋ,ga,a,
173,ga,24,5,ጌ,ge,e,
174,ga,24,6,ግ,gɨ,ɨ,
175,ga,24,7,ጎ,go,o,

176,ta2,28,1,ጠ,ṭä,ä,
177,ta2,28,2,ጡ,ṭu,u,
178,ta2,28,3,ጢ,ṭi,i,
179,ta2,28,4,ጣ,ṭa,a,
180,ta2,28,5,ጤ,ṭe,e,
181,ta2,28,6,ጥ,ṭɨ,ɨ,
182,ta2,28,7,ጦ,ṭo,o,

183,ca2,29,1,ጨ,č̣ä,ä,
184,ca2,29,2,ጩ,č̣u,u,
185,ca2,29,3,ጪ,č̣i,i,
186,ca2,29,4,ጫ,č̣a,a,
187,ca2,29,5,ጬ,č̣e,e,
188,ca2,29,6,ጭ,č̣ɨ,ɨ,
189,ca2,29,7,ጮ,č̣o,o,

190,pa2,30,1,ጰ,ṗä,ä,
191,pa2,30,2,ጱ,ṗu,u,
192,pa2,30,3,ጲ,ṗi,i,
193,pa2,30,4,ጳ,ṗa,a,
194,pa2,30,5,ጴ,ṗe,e,
195,pa2,30,6,ጵ,ṗɨ,ɨ,
196,pa2,30,7,ጶ,ṗo,o,


197,tsa,25,1,ጸ,tsä,ä,
198,tsa,25,2,ጹ,tsu,u,
199,tsa,25,3,ጺ,tsi,i,
200,tsa,25,4,ጻ,tsa,a,
201,tsa,25,5,ጼ,tse,e,
202,tsa,25,6,ጽ,tsɨ,ɨ,
203,tsa,25,7,ጾ,tso,o,

204,tsa2,31,1,ፀ,ṣä,ä,
205,tsa2,31,2,ፁ,ṣu,u,
206,tsa2,31,3,ፂ,ṣi,i,
207,tsa2,31,4,ፃ,ṣa,a,
208,tsa2,31,5,ፄ,ṣe,e,
209,tsa2,31,6,ፅ,ṣɨ,ɨ,
210,tsa2,31,7,ፆ,ṣo,o,

211,fa,26,1,ፈ,fä,ä,
212,fa,26,2,ፉ,fu,u,
213,fa,26,3,ፊ,fi,i,
214,fa,26,4,ፋ,fa,a,
215,fa,26,5,ፌ,fe,e,
216,fa,26,6,ፍ,fɨ,ɨ,
217,fa,26,7,ፎ,fo,o,

218,pa,27,1,ፐ,pä,ä,
219,pa,27,2,ፑ,pu,u,
220,pa,27,3,ፒ,pi,i,
221,pa,27,4,ፓ,pa,a,
222,pa,27,5,ፔ,pe,e,
223,pa,27,6,ፕ,pɨ,ɨ,
224,pa,27,7,ፖ,po,o,

225,va,11,1,ቨ,vä,ä,
226,va,11,2,ቩ,vu,u,
227,va,11,3,ቪ,vi,i,
228,va,11,4,ቫ,va,a,
229,va,11,5,ቬ,ve,e,
230,va,11,6,ቭ,vɨ,ɨ,
231,va,11,7,ቮ,vo,o,
